,ID,Sexe,Motorisé,PropriétaireImmobilier,NombreEnfants,RevenuAnnuel,SecteurActivité,NiveauEducation,EtatCivil,TypeLogement,CategorieEmploi,MembreFamille,Age,Experience,Approuvée,target
2,5008806,M,Y,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,Security staff,2,58,3,No,0
3,5008808,F,N,Y,0,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Sales staff,1,52,8,No,0
4,5008809,F,N,Y,0,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Sales staff,1,52,8,No,0
5,5008810,F,N,Y,0,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Sales staff,1,52,8,No,0
6,5008811,F,N,Y,0,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Sales staff,1,52,8,No,0
10,5008815,M,Y,Y,0,270000,Working,Higher education,Married,House / apartment,Accountants,2,46,2,No,0
11,5112956,M,Y,Y,0,270000,Working,Higher education,Married,House / apartment,Accountants,2,46,2,No,0
12,5008819,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,48,3,No,0
13,5008820,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,48,3,No,0
14,5008821,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,48,3,No,0
15,5008822,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,48,3,No,0
16,5008823,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,48,3,No,0
17,5008824,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,48,3,No,0
18,5008825,F,Y,N,0,130500,Working,Incomplete higher,Married,House / apartment,Accountants,2,29,3,No,0
19,5008826,F,Y,N,0,130500,Working,Incomplete higher,Married,House / apartment,Accountants,2,29,3,No,0
20,5008830,F,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,27,4,No,0
21,5008831,F,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,27,4,No,0
22,5008832,F,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,27,4,No,0
25,5008836,M,Y,Y,3,270000,Working,Secondary / secondary special,Married,House / apartment,Accountants,5,34,3,No,0
26,5008837,M,Y,Y,3,270000,Working,Secondary / secondary special,Married,House / apartment,Accountants,5,34,3,No,0
27,5008838,M,N,Y,1,405000,Commercial associate,Higher education,Married,House / apartment,Accountants,3,32,5,No,0
28,5008839,M,N,Y,1,405000,Commercial associate,Higher education,Married,House / apartment,Accountants,3,32,5,No,0
29,5008840,M,N,Y,1,405000,Commercial associate,Higher education,Married,House / apartment,Accountants,3,32,5,No,0
30,5008841,M,N,Y,1,405000,Commercial associate,Higher education,Married,House / apartment,Accountants,3,32,5,No,0
31,5008842,M,N,Y,1,405000,Commercial associate,Higher education,Married,House / apartment,Accountants,3,32,5,No,0
32,5008843,M,N,Y,1,405000,Commercial associate,Higher education,Married,House / apartment,Accountants,3,32,5,No,0
33,5008844,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,56,12,No,0
34,5008846,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,56,12,No,0
35,5008847,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,56,12,No,0
36,5008849,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,56,12,No,0
37,5008850,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,56,12,No,0
38,5008851,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,56,12,No,0
39,5008852,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,56,12,No,0
40,5008853,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,56,12,No,0
41,5008854,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,Accountants,4,43,8,No,0
42,5008855,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,Accountants,4,43,8,No,0
43,5008856,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,Accountants,4,43,8,No,0
44,5008857,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,Accountants,4,43,8,No,0
45,5008858,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,Accountants,4,43,8,No,0
46,5008859,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,Accountants,4,43,8,No,0
47,5008860,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,Accountants,4,43,8,No,0
48,5008861,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,Accountants,4,43,8,No,0
49,5008862,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,Accountants,4,43,8,No,0
50,5008863,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,Accountants,4,43,8,No,0
51,5008864,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,Accountants,4,43,8,No,0
52,5008865,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,Accountants,4,43,8,No,0
53,5008866,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,Accountants,4,43,8,No,0
54,5008867,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,Accountants,4,43,8,No,0
55,5112846,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,Accountants,4,43,8,No,0
56,5008868,F,N,Y,1,211500,State servant,Secondary / secondary special,Civil marriage,House / apartment,Accountants,3,44,19,No,0
57,5008870,F,N,Y,1,211500,State servant,Secondary / secondary special,Civil marriage,House / apartment,Accountants,3,44,19,No,0
58,5008872,M,Y,Y,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,45,14,No,0
59,5008873,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,Accountants,4,34,4,No,0
60,5008874,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,Accountants,4,34,4,No,0
61,5008875,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,Accountants,4,34,4,No,0
62,5008876,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,Accountants,4,34,4,No,0
63,5008877,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,Accountants,4,34,4,No,0
64,5008878,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,Accountants,4,34,4,No,0
65,5008879,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,Accountants,4,34,4,No,0
66,5008880,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,Accountants,4,34,4,No,0
67,5008881,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,Accountants,4,34,4,No,0
68,5008882,F,N,Y,2,126000,Commercial associate,Higher education,Married,House / apartment,Accountants,4,34,4,No,0
70,5008888,F,N,Y,0,247500,Commercial associate,Higher education,Separated,Rented apartment,Accountants,1,46,3,No,0
71,5008889,F,N,Y,0,247500,Commercial associate,Higher education,Separated,Rented apartment,Accountants,1,46,3,No,0
72,5008890,F,N,Y,0,247500,Commercial associate,Higher education,Separated,Rented apartment,Accountants,1,46,3,No,0
73,5112847,F,N,Y,0,247500,Commercial associate,Higher education,Separated,Rented apartment,Accountants,1,46,3,No,0
74,5008891,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
75,5008892,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
76,5008893,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
77,5008894,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
78,5008895,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
79,5008896,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
80,5008897,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
81,5008898,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
82,5008899,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
83,5008900,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
84,5008901,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
85,5008902,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
86,5008903,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
87,5008904,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
88,5008905,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
89,5008906,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
90,5008907,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
91,5008908,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
92,5008909,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
93,5008910,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
94,5008911,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
95,5008912,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
96,5008913,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
97,5008914,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
98,5008915,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
99,5008916,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
100,5008917,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
101,5008918,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
102,5008919,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
103,5008920,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
104,5008921,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
105,5008922,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Accountants,1,42,8,No,0
